Area,Cow_Breed,No_of_Calves,Litres_of_water_Taken_by_the_cow_in_a_day,Feeding_Practices,Average_Temperature_of_the_Area,Yearly_Production
Rachuonyo North,Guernsey,3,98,Grazing,27,9190
Homa Bay Town,Ayrshire,6,54,Mixed,30,2460
Suba South,Ayrshire,4,108,Grazing,22,9601
Rachuonyo South,Brown Swiss,5,78,Mixed,22,8109
Homa Bay Town,Holstein-Friesian,2,116,Zero-grazing,23,10455
Rachuonyo North,Guernsey,5,75,Mixed,30,6187
Rachuonyo South,Jersey,3,96,Mixed,16,11163
Rachuonyo South,Holstein-Friesian,3,94,Mixed,18,10866
Rachuonyo North,Brown Swiss,3,97,Zero-grazing,20,9330
Suba North,Brown Swiss,3,86,Grazing,24,9546
Ndhiwa,Guernsey,2,106,Grazing,19,9387
Ndhiwa,Holstein-Friesian,6,56,Grazing,15,3628
Rachuonyo North,Jersey,3,114,Zero-grazing,29,8928
Rachuonyo North,Holstein-Friesian,3,84,Mixed,25,8742
Rachuonyo East,Jersey,2,106,Zero-grazing,18,11555
Ndhiwa,Guernsey,2,116,Mixed,28,11275
Ndhiwa,Jersey,5,56,Zero-grazing,27,7502
Ndhiwa,Brown Swiss,7,68,Mixed,29,6841
Homa Bay Town,Jersey,2,105,Mixed,21,11191
Suba North,Jersey,3,115,Grazing,19,10951
Ndhiwa,Jersey,6,62,Mixed,28,3480
Suba North,Jersey,7,75,Grazing,17,5095
Ndhiwa,Ayrshire,3,88,Grazing,29,9558
Ndhiwa,Jersey,1,59,Grazing,18,5735
Rachuonyo South,Jersey,2,103,Grazing,27,10102
Suba South,Ayrshire,4,111,Mixed,28,11935
Rachuonyo East,Jersey,6,66,Grazing,20,3730
Rachuonyo North,Ayrshire,1,65,Zero-grazing,21,8336
Suba South,Brown Swiss,5,56,Mixed,24,5404
Homa Bay Town,Ayrshire,2,95,Mixed,27,8525
Suba North,Jersey,6,58,Mixed,25,3710
Rachuonyo South,Brown Swiss,2,108,Grazing,30,10723
Suba South,Holstein-Friesian,3,96,Grazing,21,10583
Suba South,Holstein-Friesian,2,106,Grazing,22,9673
Rachuonyo South,Brown Swiss,1,60,Mixed,17,7212
Suba North,Guernsey,1,80,Mixed,18,5997
Rachuonyo East,Jersey,7,74,Grazing,23,5896
Suba North,Guernsey,1,56,Zero-grazing,30,8040
Rachuonyo South,Brown Swiss,4,80,Mixed,24,11176
Suba South,Jersey,3,103,Grazing,25,9883
Rachuonyo North,Holstein-Friesian,1,59,Grazing,22,5072
Suba North,Ayrshire,4,103,Grazing,19,11894
Suba South,Ayrshire,3,96,Mixed,27,9079
Suba North,Holstein-Friesian,1,73,Mixed,22,6056
Rachuonyo East,Holstein-Friesian,7,70,Mixed,20,7894
Rachuonyo South,Jersey,1,51,Mixed,30,6889
Suba North,Brown Swiss,4,109,Grazing,23,9976
Ndhiwa,Jersey,7,52,Zero-grazing,20,6844
Homa Bay Town,Guernsey,6,63,Grazing,24,2769
Rachuonyo North,Jersey,2,104,Zero-grazing,21,8945
Rachuonyo East,Guernsey,2,81,Mixed,28,11984
Rachuonyo South,Ayrshire,5,51,Zero-grazing,22,6178
Rachuonyo North,Ayrshire,3,120,Grazing,21,10761
Suba South,Holstein-Friesian,5,74,Zero-grazing,16,7060
Rachuonyo North,Brown Swiss,6,62,Grazing,25,3497
Rachuonyo East,Guernsey,1,67,Zero-grazing,22,5009
Suba South,Brown Swiss,4,110,Zero-grazing,29,10408
Suba North,Guernsey,4,112,Mixed,16,10596
Suba South,Holstein-Friesian,4,119,Zero-grazing,24,8865
Homa Bay Town,Guernsey,6,55,Grazing,23,2213
Suba North,Holstein-Friesian,4,93,Zero-grazing,29,11433
Homa Bay Town,Guernsey,6,56,Zero-grazing,26,3780
Rachuonyo East,Brown Swiss,7,62,Zero-grazing,20,7018
Homa Bay Town,Holstein-Friesian,4,120,Mixed,15,11374
Rachuonyo East,Jersey,2,93,Mixed,23,11826
Rachuonyo North,Brown Swiss,3,105,Mixed,25,10044
Ndhiwa,Ayrshire,7,78,Mixed,27,6335
Rachuonyo East,Brown Swiss,4,84,Zero-grazing,29,9273
Suba North,Holstein-Friesian,3,87,Zero-grazing,25,11603
Ndhiwa,Brown Swiss,2,96,Mixed,26,8799
Suba South,Guernsey,7,71,Mixed,27,7078
Rachuonyo East,Holstein-Friesian,1,70,Mixed,27,6532
Rachuonyo East,Jersey,4,119,Mixed,26,10986
Rachuonyo East,Guernsey,1,61,Mixed,24,5382
Rachuonyo South,Jersey,7,56,Grazing,30,5523
Rachuonyo South,Guernsey,6,59,Mixed,30,3437
Suba North,Guernsey,3,111,Grazing,23,10966
Rachuonyo South,Ayrshire,5,79,Grazing,26,6606
Suba South,Guernsey,5,68,Mixed,17,6800
Rachuonyo North,Jersey,7,62,Mixed,18,7630
Rachuonyo South,Brown Swiss,6,67,Grazing,30,3053
Suba North,Jersey,5,59,Grazing,27,5856
Suba North,Guernsey,1,62,Mixed,23,7981
Rachuonyo North,Holstein-Friesian,4,100,Mixed,25,11872
Homa Bay Town,Jersey,3,91,Mixed,26,11713
Rachuonyo North,Ayrshire,4,93,Grazing,21,10302
Rachuonyo North,Ayrshire,5,57,Grazing,17,6891
Rachuonyo East,Ayrshire,2,103,Zero-grazing,19,11127
Rachuonyo North,Jersey,3,90,Grazing,30,11398
Rachuonyo North,Jersey,2,84,Grazing,16,9019
Suba South,Guernsey,6,64,Mixed,19,2960
Homa Bay Town,Brown Swiss,4,85,Mixed,21,11732
Suba South,Holstein-Friesian,6,66,Grazing,25,3138
Ndhiwa,Brown Swiss,4,95,Zero-grazing,23,9736
Suba North,Holstein-Friesian,5,55,Grazing,18,5061
Rachuonyo North,Ayrshire,1,75,Zero-grazing,20,7003
Ndhiwa,Guernsey,6,62,Mixed,23,3886
Rachuonyo East,Ayrshire,3,98,Zero-grazing,21,9218
Rachuonyo East,Brown Swiss,2,80,Zero-grazing,21,9799
Rachuonyo East,Guernsey,5,50,Zero-grazing,16,6360
Rachuonyo South,Holstein-Friesian,5,64,Zero-grazing,28,7175
Ndhiwa,Jersey,7,73,Mixed,27,8151
Rachuonyo East,Guernsey,3,85,Grazing,27,9087
Suba North,Ayrshire,7,72,Grazing,19,8448
Suba South,Brown Swiss,3,95,Mixed,25,10176
Rachuonyo East,Guernsey,3,84,Grazing,22,9820
Suba North,Holstein-Friesian,3,102,Mixed,18,9389
Ndhiwa,Jersey,2,92,Grazing,20,11548
Ndhiwa,Ayrshire,2,97,Grazing,30,11203
Suba South,Ayrshire,2,84,Mixed,29,11594
Rachuonyo East,Brown Swiss,7,75,Mixed,30,8400
Rachuonyo East,Jersey,2,110,Grazing,28,9668
Rachuonyo South,Holstein-Friesian,4,80,Zero-grazing,18,8905
Homa Bay Town,Holstein-Friesian,1,72,Grazing,18,7029
Rachuonyo South,Holstein-Friesian,3,118,Mixed,27,10246
Ndhiwa,Guernsey,3,110,Mixed,21,10490
Rachuonyo South,Ayrshire,2,106,Mixed,29,9114
Rachuonyo North,Ayrshire,1,63,Mixed,28,8169
Suba North,Jersey,4,116,Grazing,15,9889
Ndhiwa,Holstein-Friesian,5,78,Mixed,23,7959
Ndhiwa,Holstein-Friesian,7,56,Zero-grazing,26,5341
Rachuonyo South,Brown Swiss,6,52,Grazing,23,2698
Suba North,Guernsey,1,72,Mixed,25,5264
Suba North,Brown Swiss,4,96,Mixed,18,10536
Homa Bay Town,Guernsey,6,52,Zero-grazing,25,3124
Suba North,Jersey,6,68,Grazing,24,3821
Suba North,Brown Swiss,7,71,Grazing,15,7395
Rachuonyo South,Holstein-Friesian,1,59,Grazing,28,5338
Homa Bay Town,Ayrshire,7,62,Zero-grazing,21,8367
Suba South,Ayrshire,3,90,Mixed,29,9720
Ndhiwa,Holstein-Friesian,5,74,Zero-grazing,21,6734
Ndhiwa,Ayrshire,4,115,Zero-grazing,26,10141
Suba South,Ayrshire,2,117,Mixed,24,11233
Rachuonyo South,Jersey,4,91,Zero-grazing,21,9954
Rachuonyo North,Guernsey,3,93,Zero-grazing,18,9150
Suba North,Holstein-Friesian,2,88,Zero-grazing,16,10076
Rachuonyo South,Holstein-Friesian,5,68,Mixed,19,7834
Homa Bay Town,Jersey,1,68,Zero-grazing,29,6240
Rachuonyo South,Holstein-Friesian,4,115,Mixed,29,9057
Rachuonyo North,Ayrshire,3,100,Zero-grazing,20,11914
Ndhiwa,Ayrshire,7,61,Grazing,19,5302
Suba South,Jersey,3,85,Grazing,23,9357
Rachuonyo East,Brown Swiss,7,52,Grazing,18,6926
Rachuonyo South,Brown Swiss,5,59,Mixed,28,5724
Rachuonyo South,Jersey,7,71,Grazing,22,5040
Suba South,Jersey,7,70,Grazing,27,5618
Rachuonyo North,Guernsey,1,69,Zero-grazing,28,6675
Suba South,Holstein-Friesian,4,112,Grazing,29,9697
Suba South,Ayrshire,1,77,Grazing,17,6287
Rachuonyo South,Brown Swiss,3,82,Grazing,17,11541
Rachuonyo South,Ayrshire,1,74,Grazing,30,5865
Suba South,Ayrshire,7,51,Grazing,23,7766
Rachuonyo South,Holstein-Friesian,2,98,Grazing,25,8968
Rachuonyo South,Brown Swiss,1,54,Zero-grazing,18,7040
Suba South,Jersey,4,105,Grazing,27,11586
Suba North,Brown Swiss,3,114,Mixed,21,11387
Homa Bay Town,Guernsey,7,74,Mixed,30,7216
Rachuonyo East,Guernsey,2,92,Zero-grazing,22,9323
Suba North,Guernsey,6,50,Mixed,17,2662
Homa Bay Town,Ayrshire,2,93,Mixed,27,8902
Suba North,Jersey,2,86,Mixed,19,9937
Rachuonyo East,Jersey,1,54,Mixed,21,6457
Rachuonyo North,Jersey,7,56,Zero-grazing,16,7487
Suba North,Jersey,7,61,Zero-grazing,19,8203
Rachuonyo South,Guernsey,7,59,Zero-grazing,26,5080
Rachuonyo North,Brown Swiss,3,84,Grazing,24,11177
Ndhiwa,Ayrshire,6,58,Mixed,15,3220
Suba North,Holstein-Friesian,4,99,Grazing,25,10809
Rachuonyo North,Jersey,1,78,Grazing,30,6815
Rachuonyo East,Brown Swiss,3,93,Zero-grazing,27,8910
Rachuonyo South,Holstein-Friesian,7,58,Grazing,29,7109
Rachuonyo East,Brown Swiss,6,70,Zero-grazing,22,3304
Suba South,Jersey,6,68,Grazing,25,2305
Ndhiwa,Brown Swiss,3,91,Zero-grazing,18,11537
Rachuonyo North,Ayrshire,5,53,Mixed,28,7480
Rachuonyo East,Holstein-Friesian,1,69,Grazing,22,8098
Suba North,Holstein-Friesian,5,61,Zero-grazing,16,8108
Rachuonyo South,Holstein-Friesian,1,50,Zero-grazing,30,6028
Suba North,Ayrshire,2,116,Grazing,23,9173
Homa Bay Town,Guernsey,5,63,Zero-grazing,20,8030
Rachuonyo East,Brown Swiss,7,70,Mixed,23,6892
Suba North,Brown Swiss,7,71,Mixed,24,5482
Ndhiwa,Brown Swiss,2,118,Zero-grazing,28,11351
Ndhiwa,Holstein-Friesian,4,93,Grazing,28,9840
Rachuonyo North,Ayrshire,2,112,Mixed,16,10112
Suba South,Jersey,7,65,Grazing,19,6782
Suba North,Guernsey,2,81,Grazing,30,10138
Rachuonyo South,Jersey,7,57,Mixed,20,8329
Ndhiwa,Ayrshire,6,68,Grazing,15,2165
Homa Bay Town,Holstein-Friesian,7,72,Grazing,24,7937
Rachuonyo North,Brown Swiss,1,64,Grazing,15,5593
Ndhiwa,Ayrshire,4,100,Zero-grazing,25,10061
Rachuonyo North,Jersey,3,114,Mixed,20,9361
Suba North,Holstein-Friesian,1,74,Zero-grazing,17,7329
Suba North,Brown Swiss,2,95,Grazing,17,10323
Homa Bay Town,Guernsey,4,90,Mixed,27,10679
Suba South,Holstein-Friesian,1,72,Mixed,18,7045
Rachuonyo East,Holstein-Friesian,4,103,Grazing,29,9729
Ndhiwa,Ayrshire,1,52,Grazing,24,5897
Rachuonyo East,Holstein-Friesian,3,88,Zero-grazing,25,11324
Suba North,Brown Swiss,3,83,Grazing,15,10074
Rachuonyo East,Guernsey,6,61,Mixed,24,2280
Suba North,Guernsey,6,56,Grazing,22,3476
Rachuonyo South,Ayrshire,4,82,Mixed,30,9948
Rachuonyo South,Holstein-Friesian,3,100,Grazing,24,9919
Rachuonyo East,Ayrshire,7,67,Zero-grazing,26,6127
Rachuonyo East,Guernsey,6,62,Zero-grazing,23,3831
Rachuonyo East,Holstein-Friesian,3,108,Mixed,15,11352
Suba South,Jersey,3,115,Zero-grazing,15,10228
Ndhiwa,Jersey,5,69,Zero-grazing,22,7563
Rachuonyo North,Jersey,1,54,Grazing,24,5626
Rachuonyo North,Jersey,3,96,Mixed,28,9698
Homa Bay Town,Brown Swiss,3,100,Grazing,19,10501
Rachuonyo East,Ayrshire,5,63,Grazing,25,7687
Homa Bay Town,Ayrshire,3,108,Grazing,19,8845
Rachuonyo East,Holstein-Friesian,6,55,Mixed,30,3315
Suba North,Holstein-Friesian,1,65,Zero-grazing,25,7312
Suba South,Brown Swiss,3,106,Zero-grazing,26,11872
Rachuonyo East,Holstein-Friesian,6,51,Mixed,16,2977
Rachuonyo South,Ayrshire,7,79,Grazing,27,5107
Suba South,Jersey,2,86,Grazing,23,11023
Suba South,Brown Swiss,3,106,Mixed,21,10459
Rachuonyo North,Guernsey,2,105,Zero-grazing,27,10715
Rachuonyo North,Jersey,4,97,Grazing,30,11903
Suba North,Guernsey,4,97,Mixed,21,11634
Suba South,Guernsey,3,106,Zero-grazing,22,9760
Rachuonyo North,Jersey,4,89,Grazing,15,10954
Rachuonyo North,Jersey,5,63,Zero-grazing,19,6785
Suba North,Brown Swiss,5,72,Zero-grazing,24,5424
Suba North,Holstein-Friesian,1,52,Grazing,16,7257
Suba North,Guernsey,7,75,Grazing,22,7211
Suba North,Holstein-Friesian,6,56,Grazing,18,2336
Ndhiwa,Holstein-Friesian,3,86,Grazing,20,9883
Homa Bay Town,Holstein-Friesian,6,68,Mixed,23,2895
Rachuonyo North,Brown Swiss,4,100,Zero-grazing,24,9991
Homa Bay Town,Ayrshire,7,54,Grazing,21,8495
Suba South,Guernsey,1,57,Mixed,29,8045
Homa Bay Town,Brown Swiss,4,87,Grazing,17,10728
Suba South,Holstein-Friesian,4,118,Zero-grazing,29,10187
Suba North,Jersey,4,104,Zero-grazing,18,9462
Rachuonyo North,Guernsey,1,80,Mixed,27,5266
Ndhiwa,Holstein-Friesian,3,98,Mixed,28,9813
Ndhiwa,Jersey,2,83,Mixed,27,9283
Ndhiwa,Brown Swiss,5,71,Grazing,23,6680
Ndhiwa,Jersey,6,51,Grazing,25,2356
Ndhiwa,Ayrshire,4,104,Mixed,27,11723
Suba North,Holstein-Friesian,3,86,Grazing,22,10351
Suba South,Ayrshire,6,66,Grazing,23,3300
Homa Bay Town,Jersey,5,76,Mixed,17,8061
Suba South,Guernsey,4,119,Zero-grazing,29,10175
Suba North,Guernsey,4,113,Zero-grazing,24,10909
Rachuonyo North,Jersey,1,74,Zero-grazing,17,5560
Homa Bay Town,Guernsey,7,55,Zero-grazing,22,7576
Suba South,Ayrshire,6,68,Mixed,27,3202
Suba North,Jersey,2,110,Mixed,27,10703
Ndhiwa,Brown Swiss,2,101,Mixed,22,11660
Ndhiwa,Holstein-Friesian,7,74,Mixed,16,7782
Rachuonyo East,Holstein-Friesian,7,60,Mixed,26,6440
Rachuonyo East,Guernsey,2,104,Mixed,26,10047
Homa Bay Town,Guernsey,7,66,Zero-grazing,16,6626
Rachuonyo South,Ayrshire,5,56,Grazing,17,7937
Rachuonyo East,Holstein-Friesian,3,92,Grazing,28,10751
Suba South,Brown Swiss,4,112,Zero-grazing,29,10194
Rachuonyo North,Jersey,1,76,Mixed,23,6414
Suba South,Holstein-Friesian,1,59,Grazing,21,8255
Homa Bay Town,Ayrshire,1,68,Mixed,22,7570
Suba North,Jersey,4,101,Grazing,27,9074
Rachuonyo East,Brown Swiss,6,67,Zero-grazing,28,2458
Suba South,Jersey,2,102,Grazing,16,8522
Suba North,Ayrshire,2,85,Zero-grazing,23,10608
Homa Bay Town,Brown Swiss,6,53,Mixed,27,3758
Suba South,Ayrshire,2,81,Zero-grazing,30,9445
Rachuonyo North,Brown Swiss,1,58,Grazing,30,6017
Homa Bay Town,Holstein-Friesian,6,63,Zero-grazing,30,3424
Rachuonyo North,Jersey,3,110,Zero-grazing,24,10115
Rachuonyo South,Holstein-Friesian,2,115,Mixed,22,8768
Suba North,Holstein-Friesian,7,70,Mixed,27,6584
Rachuonyo North,Ayrshire,3,88,Zero-grazing,24,10237
Rachuonyo South,Guernsey,1,71,Mixed,24,7163
Ndhiwa,Brown Swiss,1,52,Mixed,16,6537
Rachuonyo North,Guernsey,3,83,Zero-grazing,20,11505
Rachuonyo South,Jersey,2,93,Grazing,19,9002
Suba South,Jersey,5,57,Mixed,16,5232
Rachuonyo East,Holstein-Friesian,6,66,Grazing,25,2787
Homa Bay Town,Holstein-Friesian,3,95,Mixed,30,9814
Ndhiwa,Brown Swiss,6,59,Zero-grazing,21,2447
Homa Bay Town,Brown Swiss,4,106,Grazing,24,9049
Suba South,Ayrshire,4,94,Grazing,18,8603
Rachuonyo South,Jersey,4,114,Grazing,18,10816
Suba North,Guernsey,4,96,Zero-grazing,25,11683
Homa Bay Town,Ayrshire,5,61,Mixed,16,6904
Rachuonyo North,Guernsey,3,107,Zero-grazing,30,8701
Rachuonyo East,Brown Swiss,5,53,Grazing,15,7681
Rachuonyo North,Jersey,4,88,Mixed,21,10780
Rachuonyo North,Brown Swiss,5,70,Zero-grazing,25,6105
Rachuonyo South,Ayrshire,2,96,Zero-grazing,18,8801
Suba North,Holstein-Friesian,3,91,Mixed,20,10943
Suba North,Brown Swiss,7,52,Mixed,21,5696
Rachuonyo East,Jersey,1,79,Grazing,29,5320
Homa Bay Town,Holstein-Friesian,1,71,Grazing,17,7866
Rachuonyo South,Guernsey,7,77,Zero-grazing,21,6476
Rachuonyo North,Holstein-Friesian,6,62,Grazing,21,2485
Suba South,Brown Swiss,5,51,Grazing,15,6177
Suba North,Jersey,4,91,Grazing,20,11314
Suba North,Guernsey,1,62,Grazing,30,7829
Rachuonyo East,Holstein-Friesian,2,96,Grazing,27,8550
Suba South,Jersey,4,116,Mixed,18,9807
Rachuonyo East,Jersey,5,64,Mixed,30,5511
Rachuonyo North,Guernsey,2,101,Zero-grazing,15,11256
Rachuonyo South,Guernsey,3,118,Grazing,21,11699
Suba South,Guernsey,3,115,Zero-grazing,19,9935
Suba South,Guernsey,2,111,Mixed,18,8713
Rachuonyo East,Holstein-Friesian,3,107,Zero-grazing,21,11914
Ndhiwa,Brown Swiss,5,53,Zero-grazing,28,5968
Suba South,Jersey,1,75,Mixed,19,5362
Rachuonyo North,Ayrshire,2,111,Zero-grazing,26,11115
Rachuonyo South,Holstein-Friesian,4,108,Zero-grazing,21,11396
Rachuonyo North,Ayrshire,7,53,Grazing,22,6363
Rachuonyo North,Ayrshire,1,52,Zero-grazing,22,7050
Rachuonyo North,Guernsey,2,95,Mixed,25,9957
Rachuonyo South,Jersey,4,103,Zero-grazing,24,9007
Ndhiwa,Jersey,3,81,Grazing,28,10619
Homa Bay Town,Guernsey,1,65,Mixed,20,5845
Homa Bay Town,Brown Swiss,2,96,Grazing,24,10646
Ndhiwa,Brown Swiss,3,98,Mixed,26,10816
Rachuonyo North,Jersey,2,97,Zero-grazing,24,9330
Rachuonyo South,Jersey,4,105,Mixed,22,11779
Ndhiwa,Holstein-Friesian,3,107,Mixed,19,10926
Suba North,Brown Swiss,5,73,Grazing,15,5811
Ndhiwa,Brown Swiss,1,52,Zero-grazing,16,5569
Rachuonyo East,Holstein-Friesian,1,72,Grazing,23,7549
Suba North,Brown Swiss,3,96,Zero-grazing,17,9714
Ndhiwa,Brown Swiss,3,113,Mixed,19,9771
Rachuonyo North,Holstein-Friesian,4,111,Zero-grazing,29,9485
Rachuonyo North,Holstein-Friesian,4,94,Mixed,15,11488
Rachuonyo East,Ayrshire,6,58,Mixed,21,2777
Rachuonyo South,Ayrshire,5,62,Mixed,19,5276
Homa Bay Town,Brown Swiss,3,85,Mixed,23,8890
Rachuonyo East,Jersey,4,95,Mixed,26,8707
Rachuonyo North,Guernsey,1,67,Grazing,21,6762
Rachuonyo North,Jersey,5,54,Zero-grazing,30,6327
Suba North,Ayrshire,5,73,Zero-grazing,20,7794
Rachuonyo South,Ayrshire,6,60,Mixed,21,3638
Suba North,Jersey,2,115,Grazing,27,10044
Ndhiwa,Guernsey,1,68,Zero-grazing,24,7502
Rachuonyo South,Jersey,7,71,Mixed,25,7053
Ndhiwa,Guernsey,7,68,Grazing,29,5167
Rachuonyo North,Brown Swiss,4,117,Grazing,27,10330
Suba North,Guernsey,1,57,Grazing,17,6064
Homa Bay Town,Brown Swiss,1,58,Zero-grazing,26,5243
Suba North,Jersey,6,64,Grazing,28,3126
Suba South,Jersey,5,65,Zero-grazing,19,6516
Suba North,Jersey,6,52,Grazing,25,2370
Rachuonyo South,Holstein-Friesian,1,71,Zero-grazing,26,6627
Rachuonyo North,Guernsey,1,71,Grazing,20,8081
Ndhiwa,Brown Swiss,4,115,Zero-grazing,20,11533
Suba North,Guernsey,6,70,Mixed,28,2847
Rachuonyo North,Holstein-Friesian,2,90,Mixed,27,8902
Suba North,Brown Swiss,3,101,Zero-grazing,28,9467
Rachuonyo East,Jersey,1,77,Mixed,28,6955
Rachuonyo East,Holstein-Friesian,7,63,Mixed,23,6355
Homa Bay Town,Holstein-Friesian,6,65,Zero-grazing,17,2735
Suba North,Jersey,2,116,Grazing,17,10338
Ndhiwa,Jersey,2,97,Zero-grazing,22,9545
Ndhiwa,Holstein-Friesian,3,112,Grazing,18,11190
Rachuonyo East,Holstein-Friesian,4,80,Grazing,30,11529
Suba South,Guernsey,1,73,Mixed,26,5148
Rachuonyo East,Brown Swiss,4,101,Zero-grazing,22,8770
Rachuonyo East,Holstein-Friesian,3,93,Grazing,17,10197
Suba North,Brown Swiss,1,75,Grazing,25,6806
Rachuonyo North,Brown Swiss,6,68,Mixed,25,2384
Rachuonyo South,Guernsey,7,56,Mixed,19,7764
Rachuonyo North,Ayrshire,6,65,Mixed,17,3069
Homa Bay Town,Brown Swiss,2,116,Zero-grazing,26,8891
Suba North,Jersey,3,96,Mixed,22,11391
Ndhiwa,Holstein-Friesian,4,89,Zero-grazing,16,9822
Rachuonyo North,Jersey,2,103,Grazing,18,8528
Ndhiwa,Ayrshire,4,88,Mixed,21,9569
Rachuonyo North,Ayrshire,6,69,Grazing,26,3756
Rachuonyo South,Ayrshire,7,54,Grazing,26,7722
Homa Bay Town,Ayrshire,6,64,Grazing,26,2454
Ndhiwa,Holstein-Friesian,1,68,Grazing,19,6393
Suba South,Jersey,5,70,Grazing,18,6984
Suba North,Ayrshire,6,52,Mixed,29,3045
Homa Bay Town,Holstein-Friesian,3,91,Mixed,15,9065
Suba North,Jersey,6,65,Grazing,21,3299
Suba North,Jersey,1,64,Zero-grazing,26,5646
Rachuonyo South,Ayrshire,4,109,Zero-grazing,26,11973
Homa Bay Town,Ayrshire,4,85,Grazing,23,9091
Suba North,Jersey,3,114,Mixed,28,9276
Suba South,Guernsey,2,83,Mixed,27,10857
Rachuonyo South,Brown Swiss,2,82,Zero-grazing,17,11411
Homa Bay Town,Holstein-Friesian,7,71,Mixed,19,5243
Suba South,Ayrshire,1,73,Zero-grazing,27,6346
Rachuonyo South,Ayrshire,2,99,Mixed,16,10731
Homa Bay Town,Guernsey,4,80,Zero-grazing,16,8841
Rachuonyo East,Ayrshire,4,83,Zero-grazing,17,9899
Suba South,Guernsey,3,113,Grazing,15,9119
Suba North,Ayrshire,2,80,Zero-grazing,18,11752
Rachuonyo East,Ayrshire,7,58,Mixed,16,6411
Homa Bay Town,Ayrshire,7,56,Zero-grazing,23,8227
Rachuonyo East,Guernsey,1,70,Mixed,29,7349
Homa Bay Town,Holstein-Friesian,5,70,Mixed,20,6499
Rachuonyo South,Guernsey,2,97,Mixed,23,11096
Ndhiwa,Guernsey,4,82,Grazing,15,11323
Suba South,Guernsey,3,91,Grazing,21,10046
Rachuonyo North,Jersey,4,82,Grazing,15,9265
Rachuonyo North,Ayrshire,6,55,Mixed,26,3858
Rachuonyo South,Brown Swiss,3,81,Grazing,25,9399
Homa Bay Town,Holstein-Friesian,3,80,Zero-grazing,21,9933
Rachuonyo North,Ayrshire,5,69,Grazing,24,6637
Rachuonyo South,Ayrshire,1,50,Grazing,22,7479
Rachuonyo East,Holstein-Friesian,7,51,Grazing,24,6470
Suba South,Jersey,6,50,Grazing,19,3245
Rachuonyo North,Brown Swiss,5,68,Grazing,22,7824
Homa Bay Town,Guernsey,4,107,Grazing,18,9372
Rachuonyo South,Jersey,5,50,Mixed,25,7991
Suba North,Guernsey,7,70,Zero-grazing,16,8294
Rachuonyo East,Guernsey,2,95,Mixed,17,11100
Homa Bay Town,Ayrshire,1,55,Grazing,17,8048
Rachuonyo East,Ayrshire,7,76,Mixed,17,6499
Suba North,Holstein-Friesian,6,53,Mixed,24,3891
Rachuonyo North,Guernsey,4,117,Mixed,26,11585
Suba North,Guernsey,6,69,Zero-grazing,22,2818
Homa Bay Town,Jersey,3,84,Grazing,21,11215
Rachuonyo South,Guernsey,7,61,Mixed,16,5892
Homa Bay Town,Brown Swiss,1,66,Grazing,30,5284
Suba North,Holstein-Friesian,1,59,Mixed,20,7659
Suba South,Ayrshire,4,81,Grazing,20,10614
Suba North,Brown Swiss,3,107,Zero-grazing,21,9255
Rachuonyo South,Jersey,1,51,Mixed,17,8445
Rachuonyo South,Brown Swiss,3,98,Zero-grazing,29,11770
Ndhiwa,Brown Swiss,6,53,Zero-grazing,29,3987
Suba South,Guernsey,7,60,Grazing,20,6769
Rachuonyo South,Guernsey,7,55,Zero-grazing,16,7920
Rachuonyo South,Brown Swiss,3,87,Grazing,21,11156
Suba South,Ayrshire,6,69,Zero-grazing,23,3735
Homa Bay Town,Jersey,2,94,Grazing,21,11625
Rachuonyo South,Brown Swiss,1,77,Mixed,21,8418
Rachuonyo North,Holstein-Friesian,5,78,Zero-grazing,18,5290
Suba South,Guernsey,5,76,Grazing,23,5822
Suba South,Brown Swiss,6,61,Grazing,28,2858
Homa Bay Town,Jersey,6,70,Mixed,28,2969
Rachuonyo East,Brown Swiss,5,79,Mixed,30,7930
Suba South,Ayrshire,4,114,Zero-grazing,26,10798
Rachuonyo East,Jersey,1,76,Grazing,23,7289
Suba North,Ayrshire,1,67,Zero-grazing,19,7507
Rachuonyo East,Guernsey,7,55,Mixed,19,5030
Suba South,Holstein-Friesian,2,102,Zero-grazing,22,8954
Rachuonyo East,Holstein-Friesian,7,74,Mixed,25,7569
Rachuonyo South,Jersey,6,52,Zero-grazing,15,3572
Suba North,Holstein-Friesian,3,110,Zero-grazing,24,11334
Rachuonyo South,Guernsey,1,60,Grazing,24,6894
Homa Bay Town,Holstein-Friesian,5,56,Grazing,27,5159
Suba South,Guernsey,6,55,Zero-grazing,30,3026
Suba North,Guernsey,5,66,Grazing,30,8466
Rachuonyo East,Ayrshire,4,90,Mixed,20,11329
Suba North,Holstein-Friesian,2,99,Mixed,22,9670
Ndhiwa,Brown Swiss,1,78,Grazing,20,5144
Rachuonyo South,Holstein-Friesian,6,70,Mixed,20,3900
Suba South,Jersey,6,64,Grazing,25,2449
Homa Bay Town,Holstein-Friesian,6,62,Grazing,25,2569
Homa Bay Town,Brown Swiss,4,94,Zero-grazing,26,9783
Suba North,Brown Swiss,2,82,Zero-grazing,23,9028
Rachuonyo South,Ayrshire,6,54,Mixed,22,2783
Rachuonyo South,Guernsey,2,116,Grazing,19,11823
Suba South,Brown Swiss,1,76,Grazing,25,5577
Rachuonyo East,Holstein-Friesian,1,78,Grazing,17,7306
Rachuonyo East,Brown Swiss,2,86,Grazing,24,11711
